cdparametresiseeaux,cdparametre,libmajparametre,libminparametre,casparam,categorie_1,categorie_2,categorie_3,limite_qualite,limite_qualite_unite,limite_qualite_commentaire,limite_indicative,limite_indicative_unite,valeur_sanitaire_1,valeur_sanitaire_1_unite,valeur_sanitaire_1_commentaire,valeur_sanitaire_2,valeur_sanitaire_2_unite,valeur_sanitaire_2_commentaire,web_label,statut_autorisation,commentaire
PPHM,1534,PROPHAME,Prophame,122-42-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Prophame,,
PPX,1535,PROPOXUR,Propoxur,114-26-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2008,,,,Propoxur,,
PNCB,1538,QUINTOZÈNE,Quintozène,82-68-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Quintozène,,
MCPP,1539,FÉNOPROP,Fénoprop,93-72-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,9,µg/L,Vmax établie par l'Anses en 2007,,,,Fénoprop,,
CHLPM,1540,CHLORPYRIPHOS MÉTHYL,Chlorpyriphos méthyl,5598-13-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorpyriphos méthyl,,
TBTR,1542,THÉBUTHIURON,Thébuthiuron,34014-18-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thébuthiuron,,
TDMF,1544,TRIADIMÉFON,Triadiméfon,43121-43-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triadiméfon,,
DMT,1550,DÉMÉTON,Déméton,8065-48-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Déméton,,
34DCLA,1586,"3,4-DICHLOROANILINE","3,4-dichloroaniline",95-76-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"3,4-dichloroaniline",,
4C2MPH,1634,CHLORO-4 MÉTHYLPHÉNOL-2,Chloro-4 Méthylphénol-2,1570-64-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chloro-4 Méthylphénol-2,,
4CP,1650,CHLOROPHÉNOL-4,Chlorophénol-4,106-48-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorophénol-4,,
13DCP,1654,"DICHLOROPROPANE-1,3","Dichloropropane-1,3",142-28-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,"Dichloropropane-1,3",,
TRZPH,1657,TRIAZOPHOS,Triazophos,24017-47-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triazophos,,
TLINE,1658,TRALOMÉTHRINE,Tralométhrine,66841-25-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tralométhrine,,
TBIL,1659,TERBACILE,Terbacile,5902-51-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Terbacile,,
TCNZ,1660,TÉTRACONAZOLE,Tétraconazole,112281-77-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tétraconazole,,
TAM,1661,TÉBUTAM,Tébutam,35256-85-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de valeur sanitaire en 2017,,,,Tébutam,Interdit,
SCT,1662,SULCOTRIONE,Sulcotrione,99105-77-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.9,µg/L,Vmax établie par l'Anses en 2020,,,,Sulcotrione,,
PYRX,1663,PYRIFÉNOX,Pyrifénox,88283-41-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Pyrifénox,,
PROCYM,1664,PROCYMIDONE,Procymidone,32809-16-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.9,µg/L,"Vmax établie par l'Anses en 2020 0,9 (associée à ERI = 10^-6)",,,,Procymidone,,
PHM,1665,PHOXIME,Phoxime,14816-18-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Phoxime,,
ODX,1666,OXADIXYL,Oxadixyl,77732-09-03,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2007,,,,Oxadixyl,Interdit,
OXDZ,1667,OXADIAZON,Oxadiazon,19666-30-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,10.8,µg/L,Vmax établie par l'Anses en 2007,,,,Oxadiazon,,
ORZ,1668,ORYZALIN,Oryzalin,19044-88-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Oryzalin,,
NFZ,1669,NORFLURAZON,Norflurazon,27314-13-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2007,,,,Norflurazon,,
METZCL,1670,MÉTAZACHLORE,Métazachlore,67129-08-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,240,µg/L,Vmax établie par l'Anses en 2016,,,,Métazachlore,Autorisé,
MTHDP,1671,MÉTHAMIDOPHOS,Méthamidophos,10265-92-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Méthamidophos,,
IXB,1672,ISOXABEN,Isoxaben,82558-50-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Isoxaben,,
HXZN,1673,HEXAZINONE,Hexazinone,51235-04-02,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,99,µg/L,Vmax établie par l'Anses en 2007,,,,Hexazinone,Interdit,
FONO,1674,FONOFOS,Fonofos,944-22-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fonofos,,
FCLRD,1675,FLUROCHLORIDONE,Flurochloridone,61213-25-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,89,µg/L,Vmax établie par l'Anses en 2020,,,,Flurochloridone,,
FLUXR,1676,FLUFÉNOXURON,Flufénoxuron,101463-69-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Flufénoxuron,,
MDNOCP,1677,MEPTYLDINOCAP,Meptyldinocap,131-72-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Meptyldinocap,,
DMTH,1678,DIMÉTHÉNAMIDE,Diméthénamide,87674-68-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2008,,,,Diméthénamide,Autorisé,
DICHLB,1679,DICHLOBÉNIL,Dichlobénil,1194-65-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2007,,,,Dichlobénil,,
CPCNZ,1680,CYPROCONAZOL,Cyproconazol,94361-06-05,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2016,,,,Cyproconazol,,
CYFLTH,1681,CYFLUTHRINE,Cyfluthrine,68359-37-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cyfluthrine,,
COUM,1682,COUMAPHOS,Coumaphos,56-72-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Coumaphos,,
CHLX,1683,CHLOROXURON,Chloroxuron,1982-47-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chloroxuron,,
CPC,1684,CHLOROPHACINONE,Chlorophacinone,3691-35-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorophacinone,,
BRPPL,1685,BROMOPROPYLATE,Bromopropylate,18181-80-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bromopropylate,,
BRMCL,1686,BROMACIL,Bromacil,314-40-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,390,µg/L,Vmax établie par l'Anses en 2008,,,,Bromacil,Interdit,
BAX,1687,BÉNALAXYL,Bénalaxyl,71626-11-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Bénalaxyl,,
CNPA,1688,ACLONIFEN,Aclonifen,74070-46-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Aclonifen,,
TBCZ,1694,TÉBUCONAZOLE,Tébuconazole,107534-96-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,90,µg/L,Vmax établie par l'Anses en 2008,,,,Tébuconazole,,
IMAT,1695,IMAZAMÉTHABENZ,Imazaméthabenz,100728-84-5,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,180,µg/L,Vmax établie par l'Anses en 2007,,,,Imazaméthabenz,,
COMLI,1696,CYCLURON,Cycluron,2163-69-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Cycluron,,
DPLLTH,1697,DÉPALLETHRINE,Dépallethrine,584-79-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dépallethrine,,
METIL,1698,DIMÉTILAN,Dimétilan,644-64-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Dimétilan,,
DIQUAT,1699,DIQUAT,Diquat,2764-72-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Diquat,,
FPRO,1700,FENPROPIDIN,Fenpropidin,67306-00-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,51,µg/L,Vmax établie par l'Anses en 2020,,,,Fenpropidin,,
FVAL,1701,FENVALÉRATE,Fenvalérate,51630-58-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Fenvalérate,,
FORME,1703,FORMÉTANATE,Formétanate,22259-30-9,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Formétanate,,
IMAZ,1704,IMAZALILE,Imazalile,35554-44-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,75,µg/L,Vmax établie par l'Anses en 2007,,,,Imazalile,,
MANEB,1705,MANÈBE,Manèbe,12427-38-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Manèbe,,
METAL,1706,MÉTALAXYLE,Métalaxyle,57837-19-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,240,µg/L,Vmax établie par l'Anses en 2013,,,,Métalaxyle,,
MOL,1707,MOLINATE,Molinate,2212-67-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Molinate,,
PICLO,1708,PICLORAME,Piclorame,01/02/1918,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,900,µg/L,Vmax établie par l'Anses en 2013,,,,Piclorame,Autorisé,
PPBTX,1709,PIPERONIL BUTOXIDE,Piperonil butoxide,51-03-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,600,µg/L,Vmax établie par l'Anses en 2013,,,,Piperonil butoxide,Autorisé,
PROME,1710,PROMÉCARBE,Promécarbe,2631-37-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Promécarbe,,
PROMN,1711,PROMÉTON,Prométon,1610-18-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Prométon,,
PPCHL,1712,PROPACHLORE,Propachlore,1918-16-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Propachlore,,
THBZ,1713,THIABENDAZOLE,Thiabendazole,148-79-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,73,µg/L,Vmax établie par l'Anses en 2020,,,,Thiabendazole,,
TFU,1714,THIAZFLURON,Thiazfluron,25366-23-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de valeur sanitaire en 2019,,,,Thiazfluron,Interdit,
TFX,1715,THIOFANOX,Thiofanox,39196-18-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thiofanox,,
THIOPM,1717,THIOPHANATE MÉTHYL,Thiophanate méthyl,23564-05-08,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thiophanate méthyl,,
THIR,1718,THIRAME,Thirame,137-26-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,30,µg/L,Vmax établie par l'Anses en 2008,,,,Thirame,,
TLFND,1719,TOLYLFLUANIDE,Tolylfluanide,731-27-1,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tolylfluanide,,
TCLNAT,1720,TRICHLORONAT,Trichloronat,327-98-0,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Trichloronat,,
ZIRA,1722,ZIRAME,Zirame,137-30-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Zirame,,
ENDOS,1742,ENDOSULFAN SULFATE,Endosulfan sulfate,1031-07-08,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Endosulfan sulfate,,
ENDOT,1743,ENDOSULFAN TOTAL,Endosulfan total,115-29-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Endosulfan total,,
EPOXCZ,1744,EPOXYCONAZOLE,Epoxyconazole,133855-98-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Epoxyconazole,Interdit,
HEPEC,1748,HEPTACHLORE ÉPOXYDE CIS,Heptachlore époxyde cis,1024-57-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.03,µg/L,,,,,Heptachlore époxyde cis,,
HEPET,1749,HEPTACHLORE ÉPOXYDE TRANS,Heptachlore époxyde trans,28044-83-9,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Heptachlore époxyde trans,,
CLAHB,1757,CHLORDANE BÉTA,Chlordane béta,5103-74-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlordane béta,,
CLAQ,1758,CHLORDANE GAMMA,Chlordane gamma,5566-34-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlordane gamma,,
PECNZ,1762,PENCONAZOLE,Penconazole,66246-88-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Penconazole,,
ETDMR,1763,ETHIDIMURON,Ethidimuron,30043-49-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST. L'Anses n'a pas pu établir de valeur sanitaire en 2020,,,,Ethidimuron,,
THIOBEN,1764,THIOBENCARDE,Thiobencarde,28249-77-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Thiobencarde,,
FPYR,1765,FLUROXYPIR,Fluroxypir,69377-81-7,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,2400,µg/L,Vmax établie par l'Anses en 2013,,,,Fluroxypir,,
METACET,1796,MÉTALDÉHYDE,Métaldéhyde,108-62-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,60,µg/L,Vmax établie par l'Anses en 2008,,,,Métaldéhyde,Autorisé,
IMETS,1797,METSULFURON MÉTHYL,Metsulfuron méthyl,74223-64-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,660,µg/L,Vmax établie par l'Anses en 2017,,,,Metsulfuron méthyl,,
TRIFORI,1802,TRIFORINE,Triforine,26644-46-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Triforine,,
MESUO,1803,METHIOCARB SULFONE,Methiocarb sulfone,2179-25-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Methiocarb sulfone,,
MESUY,1804,METHIOCARB SULFOXYDE,Methiocarb sulfoxyde,2635-10-1,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Methiocarb sulfoxyde,,
3HXC,1805,HYDROXYCARBOFURAN-3,Hydroxycarbofuran-3,16655-82-6,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Hydroxycarbofuran-3,,
ALDSY,1806,ALDICARBE SULFOXYDE,Aldicarbe sulfoxyde,1646-87-3,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Aldicarbe sulfoxyde,,
ALDSN,1807,ALDICARBE SULFONÉ,Aldicarbe sulfoné,1646-88-4,pesticide,metabolite,pertinent_par_defaut,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Aldicarbe sulfoné,,
SETHOX,1808,SETHOXYDIM,Sethoxydim,74051-80-2,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Sethoxydim,,
ESFENV,1809,ESFENVALÉRATE,Esfenvalérate,66230-04-04,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Esfenvalérate,,
CLOPY,1810,CLOPYRALID,Clopyralid,1702-17-6,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,450,µg/L,Vmax établie par l'Anses en 2008,,,,Clopyralid,Autorisé,
TRIADEM,1811,TRIDEMORPHE,Tridemorphe,81412-43-3,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Tridemorphe,,
ACYINE,1812,ALPHAMÉTHRINE,Alphaméthrine,67375-30-8,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Alphaméthrine,,
CLTHIAM,1813,CHLORTHIAMIDE,Chlorthiamide,1918-13-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,0.142,µg/L,Valeur recommandée par le HCSP en l'absence de Vmax ou VST,,,,Chlorthiamide,,
DFF,1814,DIFLUFÉNICANIL,Diflufénicanil,83164-33-4,pesticide,sub_active,,0.1,µg/L,Limite de qualité réglementaire valable pour chaque substance active pesticide et métabolite pertinent,,,600,µg/L,Vmax établie par l'Anses en 2017,,,,Diflufénicanil,Autorisé,
